Code commune,Nom commune,Code région,Code département,Logements,Établissements,Meilleure estimation des locaux à date,Zones très denses,Engagements L. 33-13 et AMEL,Intentions privées hors engagement L. 33-13,Commune rurale,Commune de montagne,T4 2017prop,T1 2018prop,T2 2018prop,T3 2018prop,T4 2018prop,T1 2019prop,T2 2019prop,T3 2019prop,T4 2019prop,T1 2020prop,T2 2020prop,T3 2020prop,Indicateur_AMEL_AMII
02483,Mézières-sur-Oise,32,02,233,9,262,NA,NA,NA,1,NA,0,0,0,0,0,0,0,100,100,100,100,100,0
02484,Mézy-Moulins,32,02,241,7,266,NA,NA,NA,1,NA,0,0,0,0,0,0,0,74.06,90.98,93.61,99.62,99.62,0
02485,Missy-aux-Bois,32,02,48.07,4,52,NA,NA,NA,1,NA,0,0,0,0,94.23,94.23,94.23,94.23,96.15,96.15,96.15,96.15,0
02486,Missy-lès-Pierrepont,32,02,48.96,2,51,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
02487,Missy-sur-Aisne,32,02,273,9,282,NA,NA,NA,1,NA,0,97.87,98.23,98.23,98.23,98.23,98.23,98.94,98.94,99.29,99.29,99.29,0
02488,Molain,32,02,78,1,79,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
02489,Molinchart,32,02,134,7,151,NA,FRTE (AMII),NA,1,NA,0,0,0,0,0,0,0,0,99.34,100,100,100,1
02490,Monampteuil,32,02,73,5,83,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
02491,Monceau-le-Neuf-et-Faucouzy,32,02,154,12,166,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,87.35,88.55,0
02492,Monceau-lès-Leups,32,02,211,5,228,NA,NA,NA,1,NA,0,0,0,100,100,100,100,100,100,100,100,100,0
02493,Monceau-le-Waast,32,02,108,6,117,NA,NA,NA,1,NA,0,0,0,0,96.58,96.58,96.58,96.58,100,100,100,100,0
02494,Monceau-sur-Oise,32,02,63,4,72,NA,NA,NA,1,NA,0,0,0,0,0,0,0,100,100,100,100,100,0
02495,Mondrepuis,32,02,467,11,478,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
02496,Monnes,32,02,44,3,49,NA,NA,NA,1,NA,0,0,0,0,85.71,85.71,85.71,85.71,85.71,85.71,87.76,100,0
02497,Mons-en-Laonnois,32,02,502,16,536,NA,FRTE (AMII),NA,1,NA,0,0,0,0,0,0,0,12.69,63.43,67.72,75,76.12,1
02498,Montaigu,32,02,373,12,414,NA,NA,NA,1,NA,0,0,0,0,1.21,9.66,13.29,13.29,14.01,97.58,100,100.24,0
02499,Montbavin,32,02,18.16,2,20,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
02500,Montbrehain,32,02,388.78,6,395,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
02501,Montchâlons,32,02,41,2,49,NA,FRTE (AMII),NA,1,NA,0,0,0,0,0,0,0,0,0,0,81.63,81.63,1
02502,Montcornet,32,02,694.97,58,753,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,90.17,90.44,90.57,90.44,0
02503,Mont-d'Origny,32,02,386,11,412,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,99.27,99.27,99.51,99.51,99.51,0
02504,Montescourt-Lizerolles,32,02,720,14,782,NA,NA,NA,NA,NA,0,0,48.72,99.87,99.87,99.87,100,100,100,100,100,99.74,0
02505,Montfaucon,32,02,105.17,4,109,NA,NA,NA,1,NA,0,0,0,0,0,4.59,4.59,4.59,4.59,4.59,4.59,4.59,0
02506,Montgobert,32,02,106,5,121,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0.83,0.83,0.83,0.83,0.83,0
02507,Montgru-Saint-Hilaire,32,02,19,3,25,NA,NA,NA,1,NA,0,0,0,0,0,0,0,96,96,96,96,96,0
02508,Monthenault,32,02,71,2,78,NA,FRTE (AMII),NA,1,NA,0,0,0,0,0,0,0,0,0,0,51.28,51.28,1
02509,Monthiers,32,02,81,1,82,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
02510,Monthurel,32,02,77,3,94,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,100,100,100,101.06,0
02511,Montigny-en-Arrouaise,32,02,134,5,150,NA,NA,NA,1,NA,0,98,98,98.67,98.67,98.67,98.67,98.67,99.33,100,100,100,0
02512,Montigny-l'Allier,32,02,150.95,2,153,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
02513,Montigny-le-Franc,32,02,80,4,94,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,98.94,98.94,98.94,0
02514,Montigny-Lengrain,32,02,328,15,373,NA,NA,NA,1,NA,0,0,0,0,0,0,0,97.59,98.39,98.66,98.66,98.39,0
02515,Montigny-lès-Condé,32,02,35,2,37,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
02516,Montigny-sous-Marle,32,02,34,2,38,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,105.26,0
02517,Montigny-sur-Crécy,32,02,146,5,155,NA,NA,NA,1,NA,0,0,100,100,100,100,100,100,100,100,100,100,0
02518,Montlevon,32,02,155.06,7,162,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0.62,1.85,1.85,0
02519,Montloué,32,02,93.42,8,101,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
02520,Mont-Notre-Dame,32,02,325.27,15,340,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
02521,Montreuil-aux-Lions,32,02,586.68,25,612,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
02522,Mont-Saint-Jean,32,02,39.13,NA,39,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
02523,Mont-Saint-Martin,32,02,30,2,34,NA,NA,NA,1,NA,0,0,0,0,0,0,0,88.24,88.24,100,100,100,0
02524,Mont-Saint-Père,32,02,330.02,13,343,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
02525,Morcourt,32,02,267.49,16,283,NA,FRTE (AMII),NA,1,NA,0,0,0,0,0,90.46,90.46,90.81,90.81,90.81,96.47,96.47,1
02526,Morgny-en-Thiérache,32,02,54.63,3,58,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
02527,Morsain,32,02,213.36,8,221,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
02528,Mortefontaine,32,02,131,8,139,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,99.28,106.47,0
02529,Mortiers,32,02,87.06,3,90,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,97.78,0
02530,Moulins,32,02,46,2,52,NA,NA,NA,1,NA,0,0,0,101.92,101.92,98.08,98.08,100,100,100,100,100,0
02531,Moussy-Verneuil,32,02,71.1,NA,71,NA,NA,NA,1,NA,0,0,0,90.14,90.14,87.32,87.32,88.73,92.96,92.96,92.96,92.96,0
02532,Moÿ-de-l'Aisne,32,02,445,25,489,NA,NA,NA,1,NA,0,0,0,0,0,1.64,1.64,1.64,1.64,99.18,100,100,0
02533,Muret-et-Crouttes,32,02,70.57,2,73,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,94.52,94.52,94.52,94.52,0
02534,Muscourt,32,02,22.13,2,24,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
02535,Nampcelles-la-Cour,32,02,66.54,5,72,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,98.61,0
02536,Nampteuil-sous-Muret,32,02,42.42,2,44,NA,NA,NA,1,NA,0,0,0,0,0,0,97.73,97.73,97.73,97.73,97.73,97.73,0
02537,Nanteuil-la-Fosse,32,02,80.52,3,84,NA,NA,NA,1,NA,0,0,0,75,75,78.57,78.57,78.57,97.62,97.62,97.62,97.62,0
02538,Nanteuil-Notre-Dame,32,02,42,3,45,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,97.78,0
02539,Nauroy,32,02,318.66,8,327,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0.92,0,0
02540,Nesles-la-Montagne,32,02,496,9,525,NA,NA,NA,NA,NA,0,0,8.19,8.76,8.76,8.76,8.76,8.76,95.24,99.81,100,99.43,0
02541,Neufchâtel-sur-Aisne,32,02,204,9,213,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
02542,Neuflieux,32,02,38.63,1,40,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
02543,Neuilly-Saint-Front,32,02,991,47,1073,NA,NA,NA,1,NA,0,0,77.73,86.77,88.07,89.47,89.56,90.03,90.12,90.12,92.82,96.09,0
02544,Neuve-Maison,32,02,278,9,299,NA,NA,NA,1,NA,0,0,0,0,0.33,0.33,0.33,0.33,100,100,100,100,0
02545,La Neuville-Bosmont,32,02,76,7,83,NA,NA,NA,1,NA,0,0,0,0,0,91.57,91.57,91.57,91.57,91.57,91.57,97.59,0
02546,La Neuville-en-Beine,32,02,86.67,4,91,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,95.6,96.7,0
02547,La Neuville-Housset,32,02,36.7,3,40,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
02548,La Neuville-lès-Dorengt,32,02,168.01,6,174,NA,NA,NA,1,NA,0,0,0,0,93.1,86.78,95.4,95.4,95.4,95.4,95.4,96.55,0
02549,Neuville-Saint-Amand,32,02,385,20,425,NA,FRTE (AMII),NA,1,NA,0,0,0,0,0,0.71,25.65,25.65,51.53,54.35,57.18,69.88,1
02550,Neuville-sur-Ailette,32,02,374,2,376,NA,NA,NA,1,NA,0,0,0,0,15.69,15.69,15.69,15.96,15.96,15.96,15.96,15.96,0
02551,Neuville-sur-Margival,32,02,47,3,58,NA,NA,NA,1,NA,0,0,0,91.38,91.38,91.38,91.38,94.83,94.83,94.83,100,100,0
02552,Neuvillette,32,02,83,7,91,NA,NA,NA,1,NA,0,0,0,0,0,0,0,97.8,97.8,97.8,97.8,97.8,0
02553,Nizy-le-Comte,32,02,118,15,139,NA,NA,NA,1,NA,0,0,0,0,0,95.68,95.68,95.68,100,100,100,100,0
02554,Nogentel,32,02,464,16,552,NA,NA,NA,NA,NA,0,0,90.94,93.12,93.3,92.75,98.19,98.37,98.37,98.37,98.37,93.84,0
02555,Nogent-l'Artaud,32,02,967,25,1073,NA,NA,NA,NA,NA,0,0,76.33,88.63,89.56,89.28,89.66,89.75,90.4,90.49,90.49,90.68,0
02556,Noircourt,32,02,45.95,1,47,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
02557,Noroy-sur-Ourcq,32,02,66,3,72,NA,NA,NA,1,NA,0,0,0,0,0,0,97.22,98.61,98.61,100,100,100,0
02558,Le Nouvion-en-Thiérache,32,02,1361,73,1611,NA,NA,NA,NA,NA,77.65,77.65,85.04,91.12,91.93,91.87,92.05,92.12,92.18,92.18,92.18,92.3,0
02559,Nouvion-et-Catillon,32,02,265,15,287,NA,NA,NA,1,NA,0,0,0,0,97.21,97.56,97.56,98.95,99.3,99.65,99.65,99.3,0
02560,Nouvion-le-Comte,32,02,137,5,149,NA,NA,NA,1,NA,0,0,0,0,98.66,100,100,100,100,100,100,106.04,0
02561,Nouvion-le-Vineux,32,02,69,5,75,NA,FRTE (AMII),NA,1,NA,0,0,0,0,0,81.33,90.67,90.67,90.67,90.67,90.67,90.67,1
02562,Nouvron-Vingré,32,02,101.65,5,107,NA,NA,NA,1,NA,0,0,0,0,0,0,95.33,95.33,95.33,96.26,96.26,96.26,0
02563,Noyales,32,02,84.55,6,91,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,94.51,0
