"","COM","n"
"1595","06152",220
"1596","06153",14
"1597","06154",6
"1598","06155",211
"1599","06156",1
"1600","06157",140
"1601","06158",4
"1602","06159",55
"1603","06161",160
"1604","06162",5
"1605","06163",15
"1606","07001",2
"1607","07002",3
"1608","07004",3
"1609","07005",13
"1610","07007",7
"1611","07008",6
"1612","07009",11
"1613","07010",79
"1614","07011",6
"1615","07012",3
"1616","07013",4
"1617","07014",3
"1618","07015",4
"1619","07016",3
"1620","07017",8
"1621","07019",82
"1622","07020",7
"1623","07022",8
"1624","07023",3
"1625","07024",7
"1626","07025",2
"1627","07026",2
"1628","07027",11
"1629","07028",10
"1630","07029",1
"1631","07030",1
"1632","07031",12
"1633","07032",2
"1634","07033",1
"1635","07034",5
"1636","07035",7
"1637","07036",2
"1638","07037",1
"1639","07039",2
"1640","07040",4
"1641","07041",11
"1642","07042",43
"1643","07044",1
"1644","07045",2
"1645","07048",4
"1646","07050",7
"1647","07051",1
"1648","07052",7
"1649","07053",8
"1650","07054",2
"1651","07055",22
"1652","07056",4
"1653","07058",6
"1654","07059",1
"1655","07060",1
"1656","07061",8
"1657","07062",2
"1658","07063",4
"1659","07064",13
"1660","07065",3
"1661","07066",15
"1662","07067",3
